,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates,search time
538,Blue Spruce Management,Self Funded,2014-07-01,"Denver, CO, USA",Acquired,Center Point Renovations,2020-01-24,1396,Bluesprucemgt.com,Centerpointrenovationscolorado.com,Construction,"Colorado Springs, CO",[],[],[],2033.0
539,"JCF Capital, LLC  ",Self Funded,2018-09-01,"New York, NY, USA",Acquired,,2020-01-24,1384,www.jcfcapllc.com,,Consumer Services,"New Jersey, USA",['Long\xa0Cheng'],[],[],510.0
540,Bridgeway Management  ,Traditional,2019-01-01,"Cleveland, OH, USA",Acquired,The Skin Center,2020-01-31,1036,www.bridgewaymanagement.com,www.theskincentermd.com,Healthcare,"Pittsburgh, PA, USA",['Greg\xa0Sanker'],"['Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Rameez\xa0Ansari ', 'Steve\xa0Lau ', 'John\xa0Shoaf']",[],395.0
541,Japan Search Fund Accelerator - Kenji Watanabe  ,Traditional,2018-05-01,"Tokyo, Japan",Acquired,,2020-02-01,1372,http://japan-sfa.com/,http://www.shiomigumi.co.j,Business Services,"Kitakyushu, Fukuoka, Japan",['Kenji\xa0Watanabe '],[],[],641.0
542,Heartland  ,Traditional,2019-07-01,"Oklahoma City, Oklahoma, United States",Acquired,Federal Corporation,2020-02-01,2071,https://www.heartlandsuccession.com/,https://www.federalcorp.com/,Business Services,"Oklahoma City, Oklahoma, United States",['John\xa0Lippe'],"['Philip\xa0Kurtz ', 'William\xa0Paiva ', 'Jim\xa0Sharpe']",[],215.0
543,Corvus Capital Investments  ,Self Funded,2016-07-01,"Richmond, VA, USA",Acquired,LuXout Products Incorporated,2020-02-01,1847,,https://www.luxout.com/,Manufacturing,"Richmond, VA, USA",['Bruce\xa0Vann'],[],[],1310.0
544,Deep South Capital  ,Self Funded,2019-07-01,"Jackson, MS, USA",Acquired,Laundry South Systems & Repair,2020-02-01,1224,,http://www.laundrysouth.com/,Business Services,"Pearl, MS, USA",['Rina\xa0Thomas White'],[],[],215.0
545,"20 South Partners, LLC  ",Traditional,2017-11-01,"San Francisco, CA, USA",Acquired,ISPN HelpDesk + Network Services,2020-02-21,930,https://www.20southpartners.com/,https://www.ispn.net/,Business Services,"Lenexa, KS, USA","['Scott\xa0Lauber', 'Jeff\xa0Neblett']","['Richard\xa0Augustyn', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Todd\xa0Tracey', 'Andy\xa0Love', 'Brad\xa0Buser']","['Alice\xa0Wong ', 'Claire\xa0Ho ', 'Arsh\xa0V. ', 'Phil\xa0Zhang ', 'Johnny\xa0Ley ', 'Justin\xa0H ', 'Charlie\xa0Lunney ', 'Colin\xa0Brinster ']",842.0
546,P. SAUSSOL TRANSMISSION  ,Traditional,2019-10-17,"Montpellier, France",Acquired,TETHYS,2020-02-28,1278,,http://en.tethys-sas.fr/,Manufacturing,"Signes, France",['Philippe\xa0Saussol'],"['Jean-Cyrille\xa0Droin', 'Miguel Angel\xa0Cestero de Francisco ', 'León\xa0Bartolomé ', 'Jose\xa0M Cabiedes ', 'Simon\xa0Bores ', 'Ignacio\xa0Olavarría', 'Alfonso\xa0Barandiarán ']",[],134.0
547,SRV Ventures LLC  ,Self Funded,2019-08-05,"Dallas, TX, USA",Acquired,"CK Texas Holdings dba Comfort Keepers of Fort Worth, TX",2020-03-13,1439,https://www.srventuresllc.net/,https://www.comfortkeepers.com/offices/texas/fort-worth,Healthcare,"Fort Worth, TX, USA",['Scott\xa0Van Duinen'],[],[],221.0
548,Onyx Capital GP  ,Self Funded,2018-07-01,"Atlanta, GA, USA",Acquired,Onyx Brands,2020-03-31,929,www.onyxcapitalgp.com,,Food,"Charlotte, NC, USA",['Deepen\xa0Patel'],[],[],639.0
549,Continuum Capital  ,Self Funded,2019-05-14,"Atlanta, GA, USA",Acquired,Innovative Peening Systems,2020-04-01,1164,www.continuumcapllc.com,www.ipeenglobal.com,Manufacturing,"Atlanta, GA, USA",['Jack\xa0Parrott'],[],[],323.0
550,Obsidian Point Partners  ,Self Funded,2019-01-01,"New York, NY, USA",Acquired,Bus and Truck of Chicago,2020-04-06,1440,https://www.obsidianpointpartners.com/,http://busntruckchicago.com/,Business Services,"Chicago, IL, USA","['Calvin\xa0Portley', 'Casey\xa0George', 'Babawole\xa0Akin-Aina', 'Andrew\xa0Wenger']",[],[],461.0
551,Sierra Madre Group  ,Traditional,2017-11-22,"Houston, TX, United States",Acquired,Integrated Computer Systems (public safety tools),2020-04-15,764,,https://www.icspublicsafety.com/,Software,"McKinney, TX, USA",['Al\xa0Galindo'],"['Craig\xa0Jones', 'George\xa0Jankovic']",[],875.0
552,Crescent Way Capital Partners  ,Traditional,2017-08-01,"Ann Arbor, MI, United States",Acquired,NovoPath LLC,2020-05-01,503,www.crescentwaycapital.com,,Healthcare,"Princeton, NJ, United States",['Ross\xa0Ricelli'],"['Graham\xa0Weaver', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'J.T.\xa0Fitzgerald', 'Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum', 'Brad\xa0Brown', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'David\xa0Dodson', 'Susan\xa0Pohlmeyer', 'Jay\xa0Davis', 'Jason\xa0Pananos', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Carlos\xa0Saez', 'Michael\xa0Miles', 'Coley\xa0Andrews', 'Jason\xa0Luther', 'Keith\xa0Gross', 'Jonathan\xa0Schatz', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Luke\xa0Hedlund', 'Grant\xa0Schafle', 'Sam\xa0Duprey ']","['Mark\xa0Ma Yao', 'Hiroki\xa0Fukushima', 'Vivek\xa0Singh', 'Ryan\xa0B', 'Aniket\xa0Suri']",1004.0
553,Eagle Rock  ,Traditional,2019-01-01,"Los Angeles, CA, USA",Acquired,Swoogo (event marketing tool),2020-05-01,1035,www.eaglerockcap.com,https://get.swoogo.com/,Business Services,"Los Angeles, CA, USA",['Christopher\xa0Sykes'],"['Sandro\xa0Mina', 'Martin\xa0Steber', 'Brad\xa0Brown', 'Jamie\xa0Turner ', 'Kirk\xa0Riedinger', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell"", 'Matthew\xa0Burr', 'Craig\xa0Burr ', 'Ned\xa0Tomasevic', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Rick\xa0Taketa', 'David\xa0Carver', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'Todd\xa0Tracey', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen']",[],486.0
554,Vigía Capital (Vigia)  ,Traditional,2018-06-04,"Madrid, España",Acquired,Industrias plasticas arias s.l.,2020-05-01,910,www.vigiacapital.com,https://www.plasticosarias.com/,,"Lugo, Galicia, Spain","['Javier\xa0González-Tovar', 'Pedro\xa0Lago ']","['Guillermo\xa0Zambrano', 'Angel\xa0Alvarez Cadavieco', 'José\xa0Moreno', 'Miguel Angel\xa0Cestero de Francisco ', 'Jorge\xa0Maortua ', 'Miguel\xa0 Albero ', 'Marcelo\xa0Castro Zappa']",[],697.0
555,Bradford Lane Capital  ,Single Sponsor,2016-07-07,"Boston, MA, United States",Acquired,TribalVision,2020-06-01,176,http://www.bradfordlanellc.com/,https://tribalvision.com/,Business Services,"Boston, Massachusetts, United States",['Rahul\xa0Bansal'],"['Timothy\xa0Bovard', 'Jake\xa0Nicholson', 'Jeremy\xa0Silverman']",[],1425.0
556,Fritz & Sehr Mittelstandsnachfolge  ,Traditional,2019-01-01,"Berlin, Germany",Acquired,Multi-Service-Gummersbach (MSG) communication systems maintenance & service,2020-06-01,1154,http://fritzundsehr.de/,https://www.msgm.de/,Business Services,"Gummersbach, Germany","['Jan\xa0Fritz', 'Christoph\xa0Sehr']","['José\xa0Moreno', 'Tobias\xa0Raeber ']",[],517.0
557,"Gascoigne Capital, LLC  ",Self Funded,2017-10-13,"Birmingham, AL, United States",Acquired,Alabama Gym Floors,2020-06-01,743,https://www.gascoignecapital.com/,https://www.alabamagymfloors.com/,Construction,"Birmingham, AL, USA",['Temple\xa0Millsap '],[],[],962.0
558,Herndon Legacy Partners  ,Traditional,,"San Diego, CA, USA",Acquired,Patriot Logistics Services LLC,2020-06-01,1919,,,Transportation,"San Diego, CA, USA",['Josh\xa0Schraeder'],[],[],
559,Next Partners LLC  ,Self Funded,,"Chicago, IL, USA",Acquired,Char Crust,2020-06-30,1859,,,Food,"Chicago, Illinois, United States",['Elisabeth\xa0Settimi'],[],[],
560,Victoriaside Capital  ,Traditional,2019-07-01,"Boston, MA, USA",Acquired,NovoPath (software solutions for Anatomic Pathology Laboratories ),2020-07-01,1184,,https://www.novopath.com/,Software,"Princeton, NJ, USA",['Promise\xa0Okeke'],"['Richard\xa0Augustyn', 'Larry\xa0Dunn', 'J.T.\xa0Fitzgerald', 'Rameez\xa0Ansari ', 'Steve\xa0Lau ']",[],366.0
561,Navegante Capital  ,Traditional,2017-06-01,"Los Angeles, CA, USA",Search,,2020-07-01,2074,,,,,['Derek\xa0Koenig'],[],[],1126.0
562,Carmel Hill Capital Partners  ,Traditional,2016-06-06,"Detroit, MI, United States",Acquired,"TGI Direct, Inc.",2020-07-01,141,http://www.carmelhillcapital.com/,http://www.tgidirect.com/,Business Services,"Flint, MI, USA",['Monica\xa0Weaver'],"['Tomas\xa0Bergstrand', 'Susan\xa0Pohlmeyer', 'David\xa0Dodson', 'Matthew\xa0Burr', 'Brad\xa0Brown', 'Tushar\xa0Shah', 'Michael\xa0Miles', 'Carlos\xa0Saez', 'Rene\xa0Lajous', 'Paul\xa0Davies', 'Chris\xa0Sekula', 'Bill\xa0Egan ', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Craig\xa0Jones', 'Todd\xa0Tracey']",[],1486.0
563,Burk Investments  ,Self Funded,2019-10-01,"Fort Lauderdale, FL, USA",Acquired,Fast Access Security,2020-07-24,1333,,allsecurityequipment.com,Retail,"Miami, FL, USA",['Alexander\xa0Burkhardt'],[],[],297.0
564,KeelBoat Capital LLC  ,Traditional,2018-06-14,"Pittsburgh, PA, USA",Acquired,JDXpert by HRTMS (HR software),2020-08-01,931,https://www.keelboatllc.com/,https://www.jdxpert.com/,Software,"Raleigh, NC, USA",['Andrew\xa0Ellerhorst'],"['Richard\xa0Augustyn', 'Todd\xa0Tracey', 'Susan\xa0Pohlmeyer', 'Andy\xa0Love', 'Badge\xa0Stone', 'Mark\xa0Egan ', 'Bill\xa0Egan ', 'Matthew\xa0Burr', 'B.A.\xa0Cullum', 'Brad\xa0Buser', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Mark\xa0Anderegg', 'Jay\xa0Davis', 'Jason\xa0Pananos', 'Macon\xa0Carroll', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Rich\xa0Kelley', 'Larry\xa0Dunn', 'Jamie\xa0Turner ']",[],779.0
565,Verdo Capital  ,Self Funded,2018-07-16,"Oakland, CA, USA",Acquired,RACO Manufacturing & Engineering,2020-08-01,1240,www.verdocapital.com,http://www.racoman.com/,Manufacturing,"San Francisco, CA, USA",['Eric\xa0Newman'],[],[],747.0
566,Lehigh Valley Search Fund  ,Traditional,2018-09-01,"Allentown, Pennsylvania, USA",Acquired,"Rolling Rock Building Stone, Inc.",2020-08-01,1051,https://www.linkedin.com/company/lehigh-valley-search-fund/about/,https://www.rollrock.com/,,"Boyertown, PA, USA",['Joseph\xa0Zimring'],[],[],700.0
567,Grove Park Capital Partners  ,Traditional,2017-05-01,"Cincinnati, OH, United States",Acquired,KDA Growth Partners,2020-08-01,635,https://www.groveparkcp.com,,,,['Phillip\xa0Furbay'],"['Jim\xa0Southern', 'Coley\xa0Andrews', 'Keith\xa0Gross', 'Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum', 'Joel\xa0Peterson', 'Aaron\xa0Gabbart', 'J.T.\xa0Fitzgerald', 'Sam\xa0Duprey ', 'Michael\xa0Miles', 'Carlos\xa0Saez', 'Badge\xa0Stone', 'Macon\xa0Carroll', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'David\xa0Carver', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'Todd\xa0Tracey', 'Kent\xa0Weaver', 'Tim\xa0Ludwig', 'Doug\xa0Tudor ', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Matthew\xa0Burr']",[],1188.0
568,Mauve Capital Partners  ,Traditional,2018-08-01,"Boston, MA, USA",Acquired,LineDrive,2020-08-01,1061,https://www.mauvecapitalpartners.com/,https://www.linedriveu.com/,Business Services,"Itasca, Illinois, United States",['Michael\xa0Abdella'],"['J.T.\xa0Fitzgerald', 'Sam\xa0Duprey ', 'Coley\xa0Andrews', 'Kevin\xa0Oxendine', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Natalie\xa0Cryer', 'Jason\xa0Pananos', 'Jay\xa0Davis', 'Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum', 'Ed\xa0Weisiger ', 'Badge\xa0Stone', 'Macon\xa0Carroll', 'Michael\xa0Miles', 'Carlos\xa0Saez', 'ALEX\xa0WANG ', 'CHRIS\xa0JENKINS ', 'Stephen\xa0Clearman', 'Tushar\xa0Shah', 'Guillermo\xa0Zambrano', 'Derrick\xa0McIver ', 'Douglas\xa0Lepisto ', 'Alon\xa0Amar']",[],731.0
569,Kogi Capital  ,Traditional,2019-12-01,"Charlotte, NC, USA",Acquired,Diversified Equipment of the Carolinas (air filtration),2020-08-01,1581,https://www.kogicapital.com/,https://www.diversifiednc.com/,Business Services,"Charlotte, NC, USA",['Cristian\xa0Nunez'],[],[],244.0
570,Ibérica Partners  ,Traditional,2019-10-01,"Madrid, Spain",Acquired,CarPro Systems,2020-08-01,1290,,https://www.carprosystems.com/,Business Services,"Amsterdam, Netherlands","['Gonzalo\xa0Carmona', 'Kieron\xa0Chalder']",[],[],305.0
571,Hemlock Capital Partners  ,Traditional,2018-10-01,"Toronto, ON, Canada",Acquired,Hometurf Lawn Care,2020-08-01,1624,https://www.hemcap.com/,https://www.hemcap.com/,Business Services,"Toronto, ON, Canada",['Matthew\xa0Hooper'],"['Jon\xa0Piurko', 'Carlos\xa0Saez', 'Bob\xa0Peacock', 'Michael\xa0Bennett']",[],670.0
572,Carlatton Capital  ,Traditional,2019-08-27,"London, UK",Acquired,2020 Innovation,2020-08-31,1232,www.carlattoncapital.co.uk,https://www.the2020group.com/,Business Services,"Birmingham, UK",['Michael\xa0Roberts'],[],[],370.0
573,Horseshoe Lane Holdings  ,Traditional,2018-07-01,Nashville,Acquired,American Landscaping Partners,2020-09-01,1041,https://www.horseshoelaneholdings.com/,https://americanlandscapingpartners.com/,Business Services,"Nashville, Tennessee, United States",['Stefan\xa0Banks '],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler']",[],793.0
574,Dhandho Partners  ,Traditional,2015-08-01,"Seattle, Washington, United States",Acquired,DrSnip - The Vasectomy Clinic,2020-09-01,2045,,https://www.drsnip.com/,Healthcare,"Seattle, Washington, United States",['Shrikesh\xa0Majithia '],[],[],1858.0
575,Rosetree Capital  ,Self Funded,2020-03-01,"Sydney New South Wales, Australia",Acquired,Evolution Surgical,2020-09-01,1991,https://rosetreecapital.com/,https://evolutionsurgical.com.au/,Healthcare,"Sydney NSW, Australia",['Jack\xa0Lancaster'],[],[],184.0
576,"Holvik Ventures, LLC  ",Self Funded,2019-06-10,"Los Angeles, CA, USA",Acquired,Training Systems Design,2020-09-08,1110,www.holvikventures.com,www.trainingsystemsdesign.com,Business Services,"Los Angeles, CA, USA",['Max\xa0Holvik'],[],[],456.0
577,Fairway Lane Partners  ,Self Funded,2020-06-08,"Austin, TX, USA",Acquired,,2020-09-21,1503,www.fairwaylanepartners.com,senitaathletics.com,Retail,"Phoenix, AZ, USA",['Andrew\xa0Pogue'],['Steve\xa0Ressler'],[],105.0
578,Alta Pine Capital  ,Self Funded,2019-10-22,"Salt Lake City, UT, USA",Acquired,Drain Tech,2020-09-24,1739,altapine.com,draintechplumber.com,Construction,"Layton, UT, USA",['David\xa0Shackelford'],[],[],338.0
579,Koru Nachfolge  ,Traditional,2017-06-01,"Zürich, Schweiz",Acquired,Renovation-Bern AG,2020-09-30,668,http://www.koru-nachfolge.de,www.renobern.ch,Construction,"Bern, Schweiz","['Benjamin\xa0Schmitt', 'Sean\xa0Smart']","['José\xa0Moreno', 'Guillermo\xa0Zambrano', 'Angel\xa0Alvarez Cadavieco', 'Jorge\xa0Maortua ', 'Rajesh\xa0Sood ', 'Peter\xa0Schober', 'Tobias\xa0Raeber ', 'Jan\xa0Simon', 'Ignacio\xa0Olavarría', 'Simon\xa0Bores ', 'Tushar\xa0Shah', 'Carsten\xa0Schemmel', 'Will\xa0Thorndike', 'Bill\xa0Egan ', 'Mark\xa0Anderegg', 'Kirk\xa0Riedinger', 'Kent\xa0Weaver']",[],1217.0
580,Laurel Tree Partners  ,Traditional,2019-06-01,"Boston, MA, USA",Acquired,Aymira (behavioral health provider agencies and software platform.),2020-10-01,1135,https://www.laureltreepartners.com/,https://aymira.com/,Healthcare,"Charlotte, NC, USA","['Jenna\xa0Lally', 'Dennis\xa0Lally']","['Tiffany\xa0Clay', 'Richard\xa0Augustyn', 'Matt\xa0Friesl ', 'Larry\xa0Dunn', 'David\xa0Dodson', 'Andy\xa0Love', 'Susan\xa0Pohlmeyer', 'Brad\xa0Buser', 'Will\xa0Thorndike', 'B.A.\xa0Cullum', 'Mark\xa0Hilderbrand ', 'Brad\xa0Brown', 'Barry\xa0Reynolds ', 'Paul\xa0Davies', 'Rene\xa0Lajous', ""MK\xa0O'Connell"", 'Natalie\xa0Cryer', ""Michael F\xa0O'Connell"", 'Jason\xa0Pananos', 'Jay\xa0Davis', 'Clint\xa0Peterson', 'Aaron\xa0Gabbart', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Aaron\xa0Perrine', 'Badge\xa0Stone']",[],488.0
581,Zinc Capital  ,Traditional,2019-08-27,"Lisbon, Portugal",Acquired,"Maintenance, Repairs and Operations (MRO)",2020-10-01,1235,http://zinc.capital/,www.teclena.pt,,Portugal,"['Tiago\xa0Paixao', 'Leonardo\xa0Carvalho']","['Sandro\xa0Mina', 'Martin\xa0Steber', 'Tobias\xa0Raeber ']",[],401.0
582,Blue Knot I  ,Traditional,2018-01-07,UK,Acquired,Page Bros,2020-10-01,1825,www.blueknotpartners.com,www.pagebros.co.uk,Business Services,"Norwich, UK",['Alex\xa0Tuya'],"['Scott\xa0Asen', 'Will\xa0Thorndike', 'Alfonso\xa0Barandiarán ', 'Tushar\xa0Shah']",[],998.0
583,Estes Point  ,Single Sponsor,2017-07-01,"Boston, MA, United States",Acquired,True View™ Windows & Glass,2020-10-01,663,https://www.estespoint.com/,https://www.trueviewglass.com/,Construction,"Phoenix, AZ, USA",['Nick\xa0Pucci'],"['Timothy\xa0Bovard', 'Jeremy\xa0Silverman', 'Jake\xa0Nicholson', 'Andrea\xa0Gonzalez Corleto']",[],1188.0
584,ADSC  ,Traditional,2019-12-01,"San Francisco, California, United States",Acquired,Hadrian,2020-11-01,2033,,https://hadrian.co/,Manufacturing,"San Francisco, California, United States",['Chris\xa0Power'],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Vince\xa0Vo ', 'Greg\xa0Matthews', 'Mike\xa0Mahre ']",[],336.0
585,Buck Jack Capital  ,Traditional,2017-01-01,"Houston, TX, United States",Acquired,unknown,2020-12-01,542,http://buckjackcapital.com/,,,,"['Laura\xa0Franklin', 'William\xa0Colt']","['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Jim\xa0Southern', 'Coley\xa0Andrews', 'Jason\xa0Luther', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Luke\xa0Hedlund', 'Harold\xa0Mottet', 'William\xa0Cohan', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn']",[],1430.0
586,Forge Partners  ,Traditional,2018-10-01,"Atlanta, GA, USA",Acquired,unknown,2020-12-01,1067,https://www.linkedin.com/company/forge-partners-l-l-c/about/,,,,"['Grant\xa0Schafle', 'Taylor\xa0Davidson']","['Sandro\xa0Mina', 'Martin\xa0Steber', 'J.T.\xa0Fitzgerald', 'Sam\xa0Duprey ', 'Rameez\xa0Ansari ', 'Steve\xa0Lau ']",[],792.0
587,Seely Partners Capital  ,Traditional,2020-08-01,"Boston, MA, USA",Acquired,"Facilities Survey, Inc. (healtchare and maintenance software)",2020-12-01,1770,,https://facilitiessurvey.com/,Software,"Pittsburgh, PA, USA",['Zachary\xa0Seely'],"['Larry\xa0Dunn', 'Richard\xa0Augustyn', 'Tiffany\xa0Augustyn']",[],122.0
588,Archer Growth Partners  ,Traditional,2019-05-01,"Toronto, ON, Canada",Acquired,unknown,2020-12-01,1172,https://www.archergrowth.com/,,,,"['Rishi\xa0Sahel', 'Martin\xa0Thiel']","['Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey', 'Steve\xa0Lau ', 'Rameez\xa0Ansari ', 'Lucas\xa0Braun', 'Ryan\xa0Robinson ', 'Mario\xa0Nigro', 'Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum']",['Justin\xa0Lai'],580.0
589,Amberfield Partners  ,Traditional,2020-03-01,"Charlottesville, VA, USA",Acquired,Radiation Detection Company,2020-12-01,1971,https://www.amberfieldpartners.com/,https://www.radetco.com/,Business Services,"Georgetown, TX, USA",['Ryan\xa0Turk'],"['Lucas\xa0Braun', 'Tom\xa0Cassutt', 'Tyler\xa0Coats', 'Jay\xa0Davis', 'James\xa0Feuille ', 'David\xa0Lazier', 'Jason\xa0Pananos', 'Kirk\xa0Riedinger', 'Ryan\xa0Robinson ', 'Will\xa0Thorndike', 'Doug\xa0Tudor ', 'Jamie\xa0Turner ', 'David\xa0Dodson', 'Susan\xa0Pohlmeyer', 'Kyle\xa0Coots', 'Kurt\xa0Leedy', 'Coley\xa0Andrews', 'Jim\xa0Southern', 'Kevin\xa0Oxendine', 'Chris\xa0Hendriksen', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Aaron\xa0Perrine', 'Saumil\xa0Jariwala', 'Bret\xa0Comolli', 'Jim\xa0Ellis', 'Gerald\xa0Risk', 'Kevin\xa0Taweel']",[],275.0
590,Vira Capital  ,Traditional,2019-02-01,"Lima, Peru",Acquired,POLYSYSTEMS,2020-12-01,1132,https://www.viracapitalpartners.com/,https://polysistemas.com/,Technology,"Lima, Peru",['Julio\xa0Ramirez'],"['Santiago\xa0Perez Teuffer', 'Mario\xa0Sicilia ', 'José\xa0Moreno']",[],669.0
591,Colca Capital  ,Traditional,2018-01-01,Peru,Acquired,Polysistemas Corp S.A.C (record management),2020-12-10,973,http://colcacapital.com/,https://www.polysistemas.com/,Business Services,"Lima, Peru","['Nicolas\xa0Lulli', 'Diego\xa0Febrero Lira']","['Guillermo\xa0Zambrano', 'Angel\xa0Alvarez Cadavieco', 'Santiago\xa0Perez Teuffer', 'Mario\xa0Sicilia ', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Rameez\xa0Ansari ', 'Steve\xa0Lau ']",[],1074.0
592,Nextline  ,Traditional,2017-07-03,"Warsaw, Poland",Acquired,MotionVFX,2020-12-17,631,https://www.nextline-sf.com,https://www.motionvfx.com/,Software,"Å»ywiec, Polska","['Andrzej\xa0Basiukiewicz', 'Wojciech\xa0Korpal ']","['Blake\xa0Winchell ', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Nicolas\xa0Lulli', 'Francisco\xa0Galiana ', 'José\xa0M. Jeréz ', 'Jorge\xa0Maortua ', 'Marcelo\xa0Castro Zappa', 'Miguel\xa0 Albero ', 'Miguel Angel\xa0Cestero de Francisco ']",[],1263.0
593,K6 Succession  ,Traditional,2019-07-01,"Paris, France",Acquired,THEIA SAS,2020-12-17,1193,,www.theia.fr,Software,"Grenoble, France","['Sebastien\xa0Abdi', 'Flavien\xa0Reille']",[],[],535.0
594,Square Mile Financial  ,Self Funded,,"Hoboken, NJ, USA",Acquired,Industrial Water Treatment,2020-12-18,1537,,,Manufacturing,"New Jersey, USA",['Jonathan\xa0York'],[],[],
595,WD Capital Holdings  ,Traditional,2020-03-14,"New York, NY, USA",Acquired,BPI Information Systems,2020-12-20,1405,http://www.wd-holdings.com/,https://www.bpiohio.com/,Business Services,"Brecksville, OH, USA","['Ross\xa0Butler', 'Kurt\xa0Freshley']",[],[],281.0
596,Broadtree Partners  ,Traditional,2018-07-01,"Atlanta, GA, USA",Acquired,Vital Care Industries (medical surgical supplies),2020-12-24,857,www.broadtreepartners.com,http://www.vitalcareindustries.com/,Manufacturing,"Tinley Park, IL, USA",['Mia\xa0Jackson'],[],[],907.0
597,Oca Capital Partners  ,Traditional,2019-07-15,"Itaim Bibi, São Paulo - State of São Paulo, 04531-020, Brazil",Acquired,NeoAssist,2021-01-01,1107,,https://www.neoassist.com/,Business Services,"São Paulo, São Paulo - State of São Paulo, Brazil",['Anna\xa0Moreira Bianchi'],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Keith\xa0Gross', 'Coley\xa0Andrews', 'José\xa0Stella', 'Rafael\xa0Somoza', 'Tushar\xa0Shah', 'Will\xa0Thorndike', 'Jamie\xa0Turner ', 'Sara\xa0Rosenthal', 'Jan\xa0Simon', 'Santiago\xa0Perez Teuffer', 'Mario\xa0Sicilia ', 'Javier\xa0Paez', 'Guillermo\xa0Zambrano', 'Angel\xa0Alvarez Cadavieco', 'Badge\xa0Stone', 'Macon\xa0Carroll', 'Rafael\xa0Bassani', 'Alexander\xa0Saller']",['Maryana\xa0Oliveira'],536.0
598,KĀLA Capital (Kala)  ,Traditional,2018-07-01,Mexico,Acquired,Moneta Technologies,2021-01-01,926,https://www.kalacapital.mx/,https://moneta.com.mx/,,"Mexico City, CDMX, Mexico","['Jose Andres\xa0Labrador', 'Ricardo\xa0Canedo']","['Sandro\xa0Mina', 'Martin\xa0Steber', 'Nicolas\xa0Lulli', 'Miguel Angel\xa0Cestero de Francisco ', 'Jorge\xa0Maortua ', 'Miguel\xa0 Albero ', 'Marcelo\xa0Castro Zappa']",[],915.0
599,Windward Management  ,Self Funded,2020-01-01,"Dallas, TX, USA",Acquired,Aerowave Technologies,2021-01-05,1781,www.windwardmanagementllc.com,www.aerowavetech.com,Technology,"Dallas, TX, USA",['William\xa0Young'],[],[],370.0
600,FSJ Capital  ,Self Funded,2019-05-01,"London, UK",Acquired,High Hazels Nursery and Pre-School,2021-01-05,1131,https://www.fsjcapital.com,,,"Sheffield, UK",['Saadat\xa0Ahmed'],[],[],615.0
