,Address,City,State,Zip Code,Full Address,Latitude,Longitude
948,6908 Fair Oaks Blvd.,Carmichael,CA,10187-99631,"6908 Fair Oaks Blvd., Carmichael, CA",38.62646612244898,-121.32823524489795
949,5436 Carpinteria Rd.,Carpinteria,CA,5621-1837,"5436 Carpinteria Rd., Carpinteria, CA",34.394962,-119.513122
950,200 E Sepulveda,Carson,CA,73524-23311,"200 E Sepulveda, Carson, CA",33.80781070286248,-118.27477042843788
951,20240 Avalon Blvd.,Carson,CA,9788-97840,"20240 Avalon Blvd., Carson, CA",33.8487787,-118.2650478
952,651 W Sepulveda Blvd,Carson,CA,76636-111374,"651 W Sepulveda Blvd, Carson, CA",33.80796072257287,-118.28530716475534
953,20810 Avalon Boulevard,Carson,CA,5928-20999,"20810 Avalon Boulevard, Carson, CA",33.8487787,-118.2650478
954,208 Sepulveda Blvd.,Carson,CA,6460-39339,"208 Sepulveda Blvd., Carson, CA",33.813193,-118.2986741
956,20700 S Avalon Blvd,Carson,CA,76468-95631,"20700 S Avalon Blvd, Carson, CA",33.8431709055701,-118.26284460265246
957,335 East Albertoni Street,Carson,CA,9411-96116,"335 East Albertoni Street, Carson, CA",33.8715000261098,-118.27154113798326
958,28050 Hasley Canyon Road,Castaic,CA,20139-197084,"28050 Hasley Canyon Road, Castaic, CA",34.45614744059833,-118.61692519176654
959,31777 Castaic Road,Castaic,CA,10852-101663,"31777 Castaic Road, Castaic, CA",34.495889096577585,-118.62203496432028
960,2720 Castro Valley Blvd,Castro Valley,CA,6855-85348,"2720 Castro Valley Blvd, Castro Valley, CA",37.694755549999996,-122.08633272190545
961,20629 Redwood Rd.,Castro Valley,CA,74281-125604,"20629 Redwood Rd., Castro Valley, CA",37.69622355,-122.07501506764564
962,20663 Rustic Drive,Castro Valley,CA,5273-846,"20663 Rustic Drive, Castro Valley, CA",37.69603752710296,-122.07795801901638
963,22095 Center Street,Castro Valley,CA,6601-66940,"22095 Center Street, Castro Valley, CA",37.69058201425873,-122.06221745078166
964,67870 Vista Chino,Cathedral City,CA,11829-105648,"67870 Vista Chino, Cathedral City, CA",33.84495100732381,-116.47797782765495
965,69040 Ramon Road,Cathedral City,CA,5595-1913,"69040 Ramon Road, Cathedral City, CA",33.8159022,-116.4861355
966,67760 E. Palm Canyon Dr.,Cathedral City,CA,5925-40679,"67760 E. Palm Canyon Dr., Cathedral City, CA",33.7837853,-116.4743586
967,2049 Century Park East,Century City,CA,9228-9080,"2049 Century Park East, Century City, CA",34.05851665,-118.41315631157977
968,1875 Century Park East,Century City,CA,9232-9081,"1875 Century Park East, Century City, CA",34.0607265,-118.4139514
969,1999 Avenue of the Stars,Century City,CA,9233-9082,"1999 Avenue of the Stars, Century City, CA",34.05864699999999,-118.4166661173567
970,1507 Mitchell Road,Ceres,CA,9473-96826,"1507 Mitchell Road, Ceres, CA",37.6087106122449,-120.93884626530611
972,20200 Bloomfield Ave,Cerritos,CA,24585-235445,"20200 Bloomfield Ave, Cerritos, CA",33.8872768,-118.0640384
973,422 Los Cerritos Center,Cerritos,CA,28312-249954,"422 Los Cerritos Center, Cerritos, CA",33.8636626,-118.094153
974,429 Los Cerritos Center,Cerritos,CA,29347-214906,"429 Los Cerritos Center, Cerritos, CA",33.8636626,-118.094153
976,20226 Pioneer Blvd,Cerritos,CA,8708-94683,"20226 Pioneer Blvd, Cerritos, CA",33.84672613022124,-118.08188983012441
977,11525 South St,Cerritos,CA,8163-154016,"11525 South St, Cerritos, CA",33.85849488442142,-118.0881559467969
978,12751 Towne Center Drive,Cerritos,CA,578-300,"12751 Towne Center Drive, Cerritos, CA",33.87044273259583,-118.06204275777374
979,20440 Devonshire St,Chatsworth,CA,74621-93750,"20440 Devonshire St, Chatsworth, CA",34.2566105,-118.57862380750072
980,9935 Topanga Canyon Boulevard,Chatsworth,CA,5318-332,"9935 Topanga Canyon Boulevard, Chatsworth, CA",34.25069000505051,-118.60586188383839
981,20516 Devonshire Street,Chatsworth,CA,5341-1057,"20516 Devonshire Street, Chatsworth, CA",34.25716767346939,-118.58018520408163
982,9157 De Soto Avenue,Chatsworth,CA,16710-161344,"9157 De Soto Avenue, Chatsworth, CA",34.237101,-118.588634
983,690 Mangrove Ave,Chico,CA,74289-76581,"690 Mangrove Ave, Chico, CA",39.735197025259886,-121.83557393636957
984,246 Broadway,Chico,CA,5252-734,"246 Broadway, Chico, CA",39.72934,-121.84097469387756
985,1910 Esplanade,Chico,CA,10804-100724,"1910 Esplanade, Chico, CA",39.74648152867481,-121.8517885956956
986,2485 Notre Dame Boulevard,Chico,CA,19843-202664,"2485 Notre Dame Boulevard, Chico, CA",39.71596972097303,-121.79521439891379
987,1951 E 20th St,Chico,CA,23686-232505,"1951 E 20th St, Chico, CA",39.72722559983063,-121.80378054893026
988,851 East Ave,Chico,CA,6717-231727,"851 East Ave, Chico, CA",39.76075958065091,-121.84492941394603
989,1366 East Ave,Chico,CA,74779-99552,"1366 East Ave, Chico, CA",39.761432,-121.8241465
990,2009 Forest,Chico,CA,5930-44940,"2009 Forest, Chico, CA",-6.4100077,-78.8506258
992,7055 Schaefer Avenue,Chino,CA,21142-204586,"7055 Schaefer Avenue, Chino, CA",34.004718,-117.65167811214717
993,12867 Mountain Avenue,Chino,CA,10101-99066,"12867 Mountain Avenue, Chino, CA",34.026575,-117.6676189
994,12150 Central Ave,Chino,CA,5982-46599,"12150 Central Ave, Chino, CA",34.0263409,-117.6894625
995,5555 Philadelphia St,Chino,CA,24598-235460,"5555 Philadelphia St, Chino, CA",34.0335388839218,-117.68380202386885
996,3944 Grand Ave,Chino,CA,76346-92520,"3944 Grand Ave, Chino, CA",33.99867878591102,-117.71934500274541
997,12488 Central Avenue,Chino,CA,6599-39359,"12488 Central Avenue, Chino, CA",34.0263409,-117.6894625
998,4200 Chino Hills Parkway,Chino Hills,CA,10884-102721,"4200 Chino Hills Parkway, Chino Hills, CA",33.9835717,-117.7126491
999,3255 Grand Ave,Chino Hills,CA,73361-24087,"3255 Grand Ave, Chino Hills, CA",34.0011016,-117.7342908
1000,3210 Chino Ave.,Chino Hills,CA,10628-101097,"3210 Chino Ave., Chino Hills, CA",34.01071622925459,-117.73606332696701
1002,15463 Fairfield Ranch Road,Chino Hills,CA,13217-105305,"15463 Fairfield Ranch Road, Chino Hills, CA",33.971344,-117.689312
1003,120 E Robertson Blvd,Chowchilla,CA,7977-93612,"120 E Robertson Blvd, Chowchilla, CA",37.123151279384054,-120.25943194987347
1004,519 Telegraph Canyon Road,Chula Vista,CA,6995-91960,"519 Telegraph Canyon Road, Chula Vista, CA",32.6232952,-117.0206871
1005,595 H Street,Chula Vista,CA,5885-32284,"595 H Street, Chula Vista, CA",32.631254,-117.089194
1006,2326 Proctor Valley Rd,Chula Vista,CA,10806-100545,"2326 Proctor Valley Rd, Chula Vista, CA",32.66064,-116.970348
1008,"1467 East ""H"" Street",Chula Vista,CA,5253-442,"1467 East ""H"" Street, Chula Vista, CA",32.6400052,-117.007997
1009,2295 Otay Lakes Rd.,Chula Vista,CA,6816-80070,"2295 Otay Lakes Rd., Chula Vista, CA",32.6500401,-117.0062297
1010,670 Palomar Street,Chula Vista,CA,16655-169704,"670 Palomar Street, Chula Vista, CA",32.60392010590565,-117.08487492662418
1011,20 3rd Avenue,Chula Vista,CA,2927-93081,"20 3rd Avenue, Chula Vista, CA",32.64986726390564,-117.08468560313477
1012,3047 Bonita Road,Chula Vista,CA,19657-201526,"3047 Bonita Road, Chula Vista, CA",32.6482483,-117.0585234
1013,1208 Broadway,Chula Vista,CA,6740-76601,"1208 Broadway, Chula Vista, CA",32.6064801711244,-117.07996807205396
1014,555 Broadway,Chula Vista,CA,6632-68180,"555 Broadway, Chula Vista, CA",32.6087933,-117.0808739
1015,605 E. Palomar Street,Chula Vista,CA,6589-63819,"605 E. Palomar Street, Chula Vista, CA",32.6193478,-117.0078727
1016,5837 Sunrise Blvd,Citrus Heights,CA,76900-129846,"5837 Sunrise Blvd, Citrus Heights, CA",38.67306776127853,-121.27158247350219
1017,8027 Greenback Lane,Citrus Heights,CA,17833-179166,"8027 Greenback Lane, Citrus Heights, CA",38.67889245,-121.2652386
1018,6121 Sunrise Boulevard,Citrus Heights,CA,5407-1175,"6121 Sunrise Boulevard, Citrus Heights, CA",38.67717568008945,-121.27165481324505
1019,7082 Auburn Blvd 150,Citrus Heights,CA,11866-94012,"7082 Auburn Blvd 150, Citrus Heights, CA",38.6940354,-121.2917997
1020,5201 E. Washington Blvd,City of Commerce,CA,6859-83043,"5201 E. Washington Blvd, City of Commerce, CA",34.0029793,-118.1670099
1021,100 Citadel Drive,City of Commerce,CA,6897-81160,"100 Citadel Drive, City of Commerce, CA",34.007546,-118.1526722
1024,810 S. Indian Hill Blvd.,Claremont,CA,6981-85422,"810 S. Indian Hill Blvd., Claremont, CA",34.080535777777776,-117.71917657777777
1025,203 Yale Avenue,Claremont,CA,5229-444,"203 Yale Avenue, Claremont, CA",34.0957537,-117.7181391
1026,550 E Baseline Rd,Claremont,CA,74658-94672,"550 E Baseline Rd, Claremont, CA",34.120729749999995,-117.70601186944856
1027,665 E Foothill Blvd,Claremont,CA,6564-65002,"665 E Foothill Blvd, Claremont, CA",34.10679555510461,-117.70494999781707
1028,5431 Clayton Rd,Clayton,CA,74445-73693,"5431 Clayton Rd, Clayton, CA",37.953794450000004,-121.95345464753251
1029,1198 A S. Cloverdale Blvd.,Cloverdale,CA,8675-93618,"1198 A S. Cloverdale Blvd., Cloverdale, CA",38.78654,-123.014481
1030,695 W Herndon Ave,Clovis,CA,76469-97140,"695 W Herndon Ave, Clovis, CA",36.83766946136557,-119.72730478822639
1031,175 W Shaw,Clovis,CA,5460-1523,"175 W Shaw, Clovis, CA",36.8088048,-119.6707553
1032,765 N Temperance Avenue,Clovis,CA,9689-97666,"765 N Temperance Avenue, Clovis, CA",36.84492791836735,-119.66509334693878
1033,1020 Shaw Ave,Clovis,CA,6602-65520,"1020 Shaw Ave, Clovis, CA",36.808418606060606,-119.69708936363637
1034,779 Herndon,Clovis,CA,2848-91680,"779 Herndon, Clovis, CA",36.83766666564723,-119.725435151582
1035,1650 Herndon Ave,Clovis,CA,74735-98875,"1650 Herndon Ave, Clovis, CA",36.835665750000004,-119.68503929798447
1036,1057 N. Willow Avenue,Clovis,CA,6888-84580,"1057 N. Willow Avenue, Clovis, CA",36.849071,-119.7289914
1037,1845 Herndon Avenue,Clovis,CA,5876-29015,"1845 Herndon Avenue, Clovis, CA",36.837379069983754,-119.68292591330169
1038,755 West Herndon Avenue,Clovis,CA,9823-97995,"755 West Herndon Avenue, Clovis, CA",36.837667464423895,-119.72596933348039
1039,3170 N. Fowler Avenue,Clovis,CA,6886-85888,"3170 N. Fowler Avenue, Clovis, CA",36.8358743,-119.6835639
1040,83073 Avenue 48,Coachella,CA,10221-99464,"83073 Avenue 48, Coachella, CA",33.700002350000005,-116.215502779659
1041,113 W. Polk Street,Coalinga,CA,8107-95864,"113 W. Polk Street, Coalinga, CA",36.136378731893075,-120.36723818044719
1043,990 Serramonte Blvd.,Colma,CA,14424-72951,"990 Serramonte Blvd., Colma, CA",37.67639889271793,-122.45878535593593
1044,5001 Junipero Serra Blvd,Colma,CA,4147-153384,"5001 Junipero Serra Blvd, Colma, CA",37.673672100000005,-122.46421468306579
1045,202 E. Valley Blvd.,Colton,CA,23108-221044,"202 E. Valley Blvd., Colton, CA",34.066774122448976,-117.32258309183673
1046,1181 S. Mount Vernon Ave.,Colton,CA,9864-97737,"1181 S. Mount Vernon Ave., Colton, CA",34.0570808,-117.3093166
1048,906 South Goodrich,Commerce,CA,17846-183124,"906 South Goodrich, Commerce, CA",34.0114152,-118.1585308
1049,1929 W. Artesia Blvd.,Compton,CA,9582-97226,"1929 W. Artesia Blvd., Compton, CA",33.87402184638169,-118.24815492541227
1050,1621 S Alameda St,Compton,CA,76829-107981,"1621 S Alameda St, Compton, CA",33.8768273,-118.21793
1051,2161 W. Rosecrans Ave,Compton,CA,10307-99844,"2161 W. Rosecrans Ave, Compton, CA",33.9033568,-118.2392386
1054,4309 Clayton Rd,Concord,CA,79589-105474,"4309 Clayton Rd, Concord, CA",37.96616085,-121.9907236900416
1055,2118 Willow Pass Road,Concord,CA,5263-729,"2118 Willow Pass Road, Concord, CA",37.9765304,-122.0338356
1056,2600 Willow Pass Rd,Concord,CA,74676-73684,"2600 Willow Pass Rd, Concord, CA",37.97832535,-122.02825699913205
1057,4290 Clayton Rd,Concord,CA,6907-231169,"4290 Clayton Rd, Concord, CA",37.9703948,-122.0441622
1058,1536A Kirker Pass Road,Concord,CA,5474-1321,"1536A Kirker Pass Road, Concord, CA",37.95226936521914,-121.95703764632233
1059,4125 Concord Boulevard,Concord,CA,2906-85443,"4125 Concord Boulevard, Concord, CA",37.97798789861348,-121.9935824709036
1060,790 Oak Grove Road,Concord,CA,6728-72435,"790 Oak Grove Road, Concord, CA",37.93572252028874,-122.02216844166311
1061,1701 Willow Pass Road,Concord,CA,6472-61702,"1701 Willow Pass Road, Concord, CA",37.973245,-122.041268
1062,3373 Port Chicago Highway,Concord,CA,6971-86217,"3373 Port Chicago Highway, Concord, CA",37.976567,-122.0287829
1063,1170 Concord Ave.,Concord,CA,8110-95766,"1170 Concord Ave., Concord, CA",37.979978485243876,-122.05696559758493
1064,1 Sun Valley Mall,Concord,CA,28242-250110,"1 Sun Valley Mall, Concord, CA",37.9682151,-122.0614924
1065,908 SR-99W,Corning,CA,3486-93616,"908 SR-99W, Corning, CA",39.924731247357705,-122.197665
1066,260 W Foothill Pkwy,Corona,CA,73581-80149,"260 W Foothill Pkwy, Corona, CA",33.84490871863064,-117.57386918029138
1067,535 N McKinley St,Corona,CA,74567-79466,"535 N McKinley St, Corona, CA",33.8914216,-117.52016315910609
1070,344 N. McKinley St.,Corona,CA,13306-105328,"344 N. McKinley St., Corona, CA",33.88811166468702,-117.51937662304918
1072,4718 Green River Road,Corona,CA,19791-199544,"4718 Green River Road, Corona, CA",33.8779717,-117.66018228403294
1074,469 Magnolia Ave,Corona,CA,5715-5488,"469 Magnolia Ave, Corona, CA",33.85577550175603,-117.56022408768014
1076,1575 E. Ontario Ave.,Corona,CA,6978-82123,"1575 E. Ontario Ave., Corona, CA",33.855836,-117.5659702
1079,960 Orange Avenue,Coronado,CA,602-311,"960 Orange Avenue, Coronado, CA",32.686454,-117.18008
1080,209 Corte Madera Town Center,Corte Madera,CA,16188-131404,"209 Corte Madera Town Center, Corte Madera, CA",37.92744952274117,-122.51588380069477
1081,1618 Redwood Hwy,Corte Madera,CA,28727-250108,"1618 Redwood Hwy, Corte Madera, CA",37.931400046443,-122.51529150507187
1082,137 Corte Madera Town Center,Corte Madera,CA,74161-24428,"137 Corte Madera Town Center, Corte Madera, CA",37.9279905,-122.51771869419514
1083,1732A Redwood Hwy,Corte Madera,CA,517-461,"1732A Redwood Hwy, Corte Madera, CA",37.932927081340964,-122.51601295204875
1084,3333 Bristol St,Costa Mesa,CA,16012-155904,"3333 Bristol St, Costa Mesa, CA",33.6919252,-117.88298739155773
1085,3030 Harbor Blvd.,Costa Mesa,CA,5984-45779,"3030 Harbor Blvd., Costa Mesa, CA",33.6817373,-117.91895529994183
1086,450 East 17th Street,Costa Mesa,CA,15007-192684,"450 East 17th Street, Costa Mesa, CA",33.629751,-117.91002628579398
1087,3333 Bear Street,Costa Mesa,CA,26039-243267,"3333 Bear Street, Costa Mesa, CA",33.69097975,-117.89287705902476
1089,2701 Fairview Road,Costa Mesa,CA,75367-102972,"2701 Fairview Road, Costa Mesa, CA",33.6715898,-117.91212569566719
1090,3333 Bristol Street,Costa Mesa,CA,6751-27533,"3333 Bristol Street, Costa Mesa, CA",33.6919252,-117.88298739155773
1092,380 E 17th St.,Costa Mesa,CA,19157-198886,"380 E 17th St., Costa Mesa, CA",33.63135775527619,-117.91274069214722
1093,250 Bristol Street,Costa Mesa,CA,22637-222604,"250 Bristol Street, Costa Mesa, CA",33.6680548,-117.88328396440623
1094,901 South Coast Drive,Costa Mesa,CA,5302-446,"901 South Coast Drive, Costa Mesa, CA",33.6884323,-117.8961397
1095,3333 Bristol St.,Costa Mesa,CA,28361-249859,"3333 Bristol St., Costa Mesa, CA",33.6919252,-117.88298739155773
1096,2300 Harbor Blvd.,Costa Mesa,CA,5783-17134,"2300 Harbor Blvd., Costa Mesa, CA",33.6588435,-117.9166056480924
1097,2590 Newport Blvd,Costa Mesa,CA,11093-104235,"2590 Newport Blvd, Costa Mesa, CA",33.6435964,-117.9164562
1098,250 E. 17th Street,Costa Mesa,CA,14003-108021,"250 E. 17th Street, Costa Mesa, CA",33.634274649999995,-117.91657936756155
1099,2701 Harbor Blvd,Costa Mesa,CA,5539-722,"2701 Harbor Blvd, Costa Mesa, CA",33.6718954,-117.9202262450849
1100,1696 Newport Blvd.,Costa Mesa,CA,5343-983,"1696 Newport Blvd., Costa Mesa, CA",33.636861249999995,-117.92144897812983
1101,545 Anton Blvd,Costa Mesa,CA,6466-56439,"545 Anton Blvd, Costa Mesa, CA",33.6900253,-117.87393289454351
1102,640 E. Cotati Avenue,Cotati,CA,10339-97406,"640 E. Cotati Avenue, Cotati, CA",38.32935053942664,-122.69745615291616
1103,127 North Azusa Avenue,Covina,CA,23741-228807,"127 North Azusa Avenue, Covina, CA",34.088744753341544,-117.9079458151843
1104,611 South Citrus Ave,Covina,CA,5583-231345,"611 South Citrus Ave, Covina, CA",34.078619312499995,-117.8899483125
1105,145 N. Citrus Avenue,Covina,CA,9685-97224,"145 N. Citrus Avenue, Covina, CA",34.08707686486486,-117.89023845945945
1106,966 E. Badillo Street,Covina,CA,8747-94755,"966 E. Badillo Street, Covina, CA",34.086030816326534,-117.87106834693877
1107,108 East Arrow Highway,Covina,CA,25057-238336,"108 East Arrow Highway, Covina, CA",34.1062519,-117.8723552
1109,6000 Sepulveda Blvd,Culver City,CA,5095-146865,"6000 Sepulveda Blvd, Culver City, CA",33.9852331,-118.3944704
1110,6150 Slauson Avenue,Culver City,CA,29701-179005,"6150 Slauson Avenue, Culver City, CA",33.9893998,-118.4000402
1111,10820 Jefferson Blvd,Culver City,CA,76328-97203,"10820 Jefferson Blvd, Culver City, CA",34.0076512,-118.3917886
1112,11030 Jefferson Blvd,Culver City,CA,74574-79834,"11030 Jefferson Blvd, Culver City, CA",33.996845199999996,-118.39386526916425
1113,4114 Sepulveda Blvd,Culver City,CA,17404-175104,"4114 Sepulveda Blvd, Culver City, CA",34.0071749,-118.412697
1114,9718 Washington Blvd.,Culver City,CA,5771-15093,"9718 Washington Blvd., Culver City, CA",34.02215675510204,-118.3964442244898
1115,22390 Homestead Road,Cupertino,CA,10885-101906,"22390 Homestead Road, Cupertino, CA",37.3371768,-122.0667482
1118,20520A Stevens Creek Blvd,Cupertino,CA,5217-387,"20520A Stevens Creek Blvd, Cupertino, CA",37.3219848,-122.0327541
1119,20620 Homestead Rd,Cupertino,CA,20109-184524,"20620 Homestead Rd, Cupertino, CA",37.3374514,-122.0656791
1120,20676 West Homestead Road,Cupertino,CA,631-238017,"20676 West Homestead Road, Cupertino, CA",37.3375383,-122.0369439
1122,20745 Stevens Creek Blvd,Cupertino,CA,76530-99360,"20745 Stevens Creek Blvd, Cupertino, CA",37.3243862,-122.03606345684983
1123,10953 Meridian Drive,Cypress,CA,5817-5525,"10953 Meridian Drive, Cypress, CA",33.80377464126774,-118.01441958836038
1125,10031 Valley View Street,Cypress,CA,10131-99101,"10031 Valley View Street, Cypress, CA",33.8239799,-118.028186
1126,4033 Ball Rd,Cypress,CA,19834-195005,"4033 Ball Rd, Cypress, CA",33.817438,-118.062198625
1127,133 Serramonte Center,Daly City,CA,27567-237381,"133 Serramonte Center, Daly City, CA",37.672249300000004,-122.47062917829632
1129,321 Gellert Blvd,Daly City,CA,5374-1239,"321 Gellert Blvd, Daly City, CA",37.66393039490621,-122.46912195063672
1131,49 Serramonte Center,Daly City,CA,5986-49839,"49 Serramonte Center, Daly City, CA",37.672249300000004,-122.47062917829632
1132,6873 Mission Street,Daly City,CA,5533-1639,"6873 Mission Street, Daly City, CA",37.701789,-122.4633747
1135,32880 Pacific Coast Highway,Dana Point,CA,6806-80621,"32880 Pacific Coast Highway, Dana Point, CA",33.486003499999995,-117.72413199836893
1136,32515 Golden Lantern Street,Dana Point,CA,6749-77840,"32515 Golden Lantern Street, Dana Point, CA",33.49063575,-117.69808979950176
1137,33601 Del Obispo St,Dana Point,CA,73376-24127,"33601 Del Obispo St, Dana Point, CA",33.4741194,-117.684785
1139,4000 Blackhawk Plaza Circle,Danville,CA,14226-95956,"4000 Blackhawk Plaza Circle, Danville, CA",37.7992994,-121.9172061
1140,11000 Crow Canyon Road,Danville,CA,634-381,"11000 Crow Canyon Road, Danville, CA",37.7983914,-121.9220751
1141,398 Hartz Avenue,Danville,CA,668-339,"398 Hartz Avenue, Danville, CA",37.8219691,-121.99988718725572
1143,730 Camino Ramon,Danville,CA,15934-165264,"730 Camino Ramon, Danville, CA",37.8095961,-121.9896792
1144,4601 2nd St,Davis,CA,5101-138870,"4601 2nd St, Davis, CA",38.55638363093784,-121.69512329630764
1145,403 Mace Blvd.,Davis,CA,24654-187685,"403 Mace Blvd., Davis, CA",38.550297755102044,-121.69459012244897
1148,2121 Cowell Blvd.,Davis,CA,74163-24431,"2121 Cowell Blvd., Davis, CA",38.5409982,-121.7251413
1149,208 F. Street,Davis,CA,5265-376,"208 F. Street, Davis, CA",38.543811,-121.7399277
1150,2038 Lyndell Terrace,Davis,CA,8800-93938,"2038 Lyndell Terrace, Davis, CA",38.5621811262608,-121.76951791649181
1151,825 Russell Boulevard,Davis,CA,5659-4490,"825 Russell Boulevard, Davis, CA",38.546408201313504,-121.76062106639489
1153,2600 Via De La Valle,Del Mar,CA,22277-219384,"2600 Via De La Valle, Del Mar, CA",32.9802282,-117.2689461
1154,1435 Camino Del Mar,Del Mar,CA,526-470,"1435 Camino Del Mar, Del Mar, CA",32.959484,-117.264857
1155,2602 Del Mar Heights Road,Del Mar,CA,24502-238007,"2602 Del Mar Heights Road, Del Mar, CA",32.9482332,-117.2604708
1159,1607 Glenwood St.,Delano,CA,13362-106598,"1607 Glenwood St., Delano, CA",35.77608881632653,-119.25140910204081
1160,14207 Palm Drive,Desert Hot Springs,CA,9593-96497,"14207 Palm Drive, Desert Hot Springs, CA",33.94509103456986,-116.50147071023925
1161,2837 Diamond Bar Blvd.,Diamond Bar,CA,11224-103807,"2837 Diamond Bar Blvd., Diamond Bar, CA",34.0270875,-117.8113557
1162,747 Grand Ave,Diamond Bar,CA,76687-102983,"747 Grand Ave, Diamond Bar, CA",34.00623276490019,-117.82122554300994
1163,22438 Golden Springs Drive,Diamond Bar,CA,5681-219126,"22438 Golden Springs Drive, Diamond Bar, CA",34.0010533,-117.8386231
1164,450 W. El Monte Way,Dinuba,CA,14400-117890,"450 W. El Monte Way, Dinuba, CA",36.54586790897035,-119.39592828177152
1165,1235 Stratford Ave.,Dixon,CA,74997-102917,"1235 Stratford Ave., Dixon, CA",38.457007700000005,-121.83897539701536
1166,1450 Ary Lane,Dixon,CA,5936-35119,"1450 Ary Lane, Dixon, CA",38.4572124,-121.8430174
1168,8626 Firestone Blvd,Downey,CA,28281-247824,"8626 Firestone Blvd, Downey, CA",33.9426092,-118.1379392
1170,8801 Lakewood Blvd.,Downey,CA,10659-101520,"8801 Lakewood Blvd., Downey, CA",33.9207606,-118.1350111
1171,12016 Lakewood Blvd.,Downey,CA,6672-68905,"12016 Lakewood Blvd., Downey, CA",33.92723039166666,-118.12998251666667
1172,1500 East Duarte Rd,Duarte,CA,20075-198884,"1500 East Duarte Rd, Duarte, CA",34.1276438,-117.97324485000001
1173,1050 Huntington Dr,Duarte,CA,24175-235449,"1050 Huntington Dr, Duarte, CA",34.1397284,-117.967486
1174,7904 Dublin Blvd.,Dublin,CA,5206-124,"7904 Dublin Blvd., Dublin, CA",37.7022446,-121.933769
1175,2710 Dublin Blvd,Dublin,CA,22633-171404,"2710 Dublin Blvd, Dublin, CA",37.70611545,-121.85212218308806
1176,4930 Dublin Blvd,Dublin,CA,5571-1508,"4930 Dublin Blvd, Dublin, CA",37.706278,-121.8834133
1177,5138 Dublin Blvd,Dublin,CA,24526-72436,"5138 Dublin Blvd, Dublin, CA",37.70561455,-121.88880265861567
1178,2800 Dublin Blvd,Dublin,CA,16135-157394,"2800 Dublin Blvd, Dublin, CA",37.7027914,-121.8536392
1179,7197 Village Parkway,Dublin,CA,9636-95967,"7197 Village Parkway, Dublin, CA",37.7098925,-121.9264707
1180,7499 Dublin Blvd,Dublin,CA,74259-114646,"7499 Dublin Blvd, Dublin, CA",37.7055,-121.9264416
1181,4440 Tassajara,Dublin,CA,74275-122345,"4440 Tassajara, Dublin, CA",37.7957602,-121.8635675
1182,14268 Schleisman Road,Eastvale,CA,20179-179044,"14268 Schleisman Road, Eastvale, CA",33.96071648109721,-117.5941172078346
1183,240 West Fitzgerald Blvd,Edwards,CA,78097-108705,"240 West Fitzgerald Blvd, Edwards, CA",34.920528,-117.932357
1184,2911 Jamacha Rd,El Cajon,CA,76952-131632,"2911 Jamacha Rd, El Cajon, CA",32.738624,-116.9385761
1185,380 Broadway,El Cajon,CA,19357-193686,"380 Broadway, El Cajon, CA",32.8080996,-116.958523
1186,250 Broadway,El Cajon,CA,24582-235458,"250 Broadway, El Cajon, CA",32.80972345,-116.95934122134418
1187,1201 Avocado Ave.,El Cajon,CA,79526-103367,"1201 Avocado Ave., El Cajon, CA",32.7879648,-116.9576141
1188,450 E. Chase Avenue,El Cajon,CA,8943-92720,"450 E. Chase Avenue, El Cajon, CA",32.7806707,-116.95642127244395
1189,2740 Fletcher Parkway,El Cajon,CA,589-309,"2740 Fletcher Parkway, El Cajon, CA",32.8074561,-116.9771791
1190,124 W. Main Street,El Cajon,CA,6530-61459,"124 W. Main Street, El Cajon, CA",32.795292,-116.963006
1192,225 Jamacha Road,El Cajon,CA,9863-239232,"225 Jamacha Road, El Cajon, CA",32.7941947,-116.9349858
1193,903 Broadway,El Cajon,CA,3417-93466,"903 Broadway, El Cajon, CA",32.8073287,-116.9505507
1194,2512 Jamacha Road,El Cajon,CA,5226-440,"2512 Jamacha Road, El Cajon, CA",32.7956347,-116.9356817
1195,1608 Broadway,El Cajon,CA,47889-259845,"1608 Broadway, El Cajon, CA",32.8089693,-116.920103
1196,1591 N. Magnolia Ave,El Cajon,CA,9386-95416,"1591 N. Magnolia Ave, El Cajon, CA",32.8203281,-116.962058
1197,2295 N Imperial Ave,El Centro,CA,17543-181286,"2295 N Imperial Ave, El Centro, CA",32.8133072,-115.567411
1198,202 S. Imperial Avenue,El Centro,CA,8751-94326,"202 S. Imperial Avenue, El Centro, CA",32.79084048928767,-115.57000840761283
1199,599 E. Danenberg Drive,El Centro,CA,7962-95472,"599 E. Danenberg Drive, El Centro, CA",32.7669273,-115.5351356
1200,750 N Imperial Ave,El Centro,CA,79674-114965,"750 N Imperial Ave, El Centro, CA",32.79889045,-115.57174821175022
1201,11450 San Pablo Ave,El Cerrito,CA,15123-153026,"11450 San Pablo Ave, El Cerrito, CA",37.9222203,-122.3154601
1202,3090 El Cerrito Plaza,El Cerrito,CA,5967-49739,"3090 El Cerrito Plaza, El Cerrito, CA",37.9012883,-122.2997345
1203,11861 San Pablo Avenue,El Cerrito,CA,6972-86218,"11861 San Pablo Avenue, El Cerrito, CA",37.9302189,-122.3217914
1205,4311 Town Center Blvd.,El Dorado Hills,CA,6534-61359,"4311 Town Center Blvd., El Dorado Hills, CA",38.65019763202286,-121.06746499993788
1208,10601 E. Valley Blvd.,El Monte,CA,17415-158784,"10601 E. Valley Blvd., El Monte, CA",34.0745943,-118.166908
