,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates
688,93North Capital  ,Self Funded,20210101,"Boston, MA, USA",Search,,,1803,https://www.93northcapital.com/home,,,,['Caleb\xa0Donnelly'],[],[]
689,Ellery Partners  ,Traditional,20200101,"Chicago, Illinois, United States",Search,,,2059,https://www.ellerypartners.com/,,,,['Jalen\xa0Ross'],[],[]
690,Anoakia Partners  ,Traditional,20170101,"New York, NY, United States",Inactive,,,524,www.anoakiapartners.com,,,,['Jonathan\xa0Lee'],"['Paul\xa0Davies', 'Jeff\xa0Stevens', 'Michael\xa0Miles', 'Scott\xa0Alderman', 'Ashley\xa0Giesler', 'Rene\xa0Lajous', 'Carlos\xa0Saez', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Mark\xa0Anderegg', 'Neil\xa0Auerbach', 'Richard\xa0Augustyn', 'Brad\xa0Brown', 'Matthew\xa0Burr', 'Wilson\xa0Chang', 'David\xa0Dodson', 'Larry\xa0Dunn', 'Joshua\xa0Goldberg ', 'Joe\xa0Niehaus', 'Susan\xa0Pohlmeyer', 'Peter\xa0Schober', 'Greg\xa0Matthews', 'Grant\xa0Schafle']",[]
691,Hall Street Capital  ,Self Funded,20170601,"Phoenix, AZ, United States",Search,,,780,https://www.hallstreetcapital.com/,,,,['Andrew\xa0Payne'],[],[]
692,Third Coast Capital  ,Traditional,20190603,"Houston, TX, USA",Raise,,,1292,,,,,['Tony\xa0McNickle'],[],[]
693,Monteleon Capital Oy  ,Self Funded,20200803,"Helsinki, Suomi",Search,,,1548,,,,,['Antti\xa0Antikainen'],[],[]
694,Star City Capital  ,Self Funded,20210113,"Roanoke, VA, USA",Raise,,,1804,www.starcitycapital.com,,,,['Buddy\xa0Rathmell'],[],[]
695,Riverbank Capital Partners  ,Traditional,20210201,"Venustiano Carranza, Mexico City, CDMX, Mexico",Search,,,2060,,,,,['Marcela\xa0Lopez Macias '],"['Guillermo\xa0Zambrano', 'Angel\xa0Alvarez Cadavieco', 'Javier\xa0Paez', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Vince\xa0Vo ', 'Greg\xa0Matthews', 'Mike\xa0Mahre ', 'Will\xa0Thorndike', 'Lucas\xa0Braun', 'G.J.\xa0King ', 'Guillermo\xa0Lavergne', 'Rafael\xa0Somoza', 'CHRIS\xa0JENKINS ', 'Kent\xa0Weaver', 'Stephen\xa0Clearman', 'Tushar\xa0Shah', 'Daniel\xa0Fernandez ', 'JAIME\xa0ALATORRE BENARD ', 'Jose\xa0Antonio Fernandez Carbajal ', 'Jose Antonio\xa0Fernandez Garza-Laguera ', 'MARIO\xa0SICILIA BENARD ', 'SANTIAGO\xa0PEREZ TEUFFER L ', 'Bret\xa0Comolli', 'Jim\xa0Ellis', 'JAMES\xa0TURNER ', 'Ryan\xa0Robinson ', 'Will\xa0Bressman', 'George\xa0Jankovic', 'Jose\xa0M Cabiedes ', 'Ignacio\xa0Olavarría', 'Simon\xa0Bores ']",[]
696,Washington Business Transition  University of Florida,Self Funded,20170330,"Washington, DC, United States",Search,,,525,www.washingtonbusinesstransition.com,,,,['Matthew\xa0Howland'],[],[]
697,RIVER ACQUISITION LIMITED  ,Self Funded,20160101,"London, United Kingdom",Search,,,781,,,,,['Martin\xa0Scott'],[],[]
698,Caribou Capital  ,Self Funded,20200804,"London, UK",Search,,,1549,www.cariboucapital.co.uk,,,,['Mark\xa0Pihlens'],[],[]
699,Cordelia Capital  ,Self Funded,20210105,"Chicago, IL, USA",Search,,,1805,https://www.cordelia.capital/,,,,['Alisa\xa0Kolodizner'],[],[]
700,Coniston Peak  ,Self Funded,20200701,"London, United Kingdom",Search,,,2061,https://www.conistonpeak.com/,,,,['Alex\xa0Glasner'],[],[]
701,Currahee Capital  United States Military Academy,Single Sponsor,20140611,"Charlotte, NC, United States",Inactive,,,14,,,,,['Sean\xa0Healy'],"['Rick\xa0Ruback', 'Royce\xa0Yudkoff']",[]
702,Lawnmarket Partners  ,Traditional,,"New York, NY, United States",Raise,,,782,http://lawnmarketpartners.com/es/,,,,['Javier\xa0Ferrer '],[],[]
703,OmniFidelis  ,Traditional,20190120,"Ashburn, VA, USA",Search,,,1294,https://www.omnifidelis.com,,,,['Vineet\xa0Rajan'],"['Rameez\xa0Ansari ', 'Steve\xa0Lau ']",['Brent\xa0White']
704,Taurus Capital  ,Traditional,20200731,"Madrid, Spain",Search,,,1550,Tauruscapital.es,,,,"['Juan\xa0Carretero', 'Borja\xa0Mesonero-Romanos ']",[],[]
705,Reditus Capital  ,Self Funded,20210103,"Edinburgh, UK",Search,,,1806,www.redituscapital.co.uk,,,,['Allan\xa0Carnegie'],[],[]
706,Brookline Partners  ,Traditional,,"Houston, TX, USA",Search,,,2062,https://brooklinepartners.com/,,,,"['Felipe\xa0Corcuera', 'Antonio\xa0ELosua']",[],[]
707,Beacon Tree Capital  ,Traditional,20140801,"Boston, MA, United States",Search,,,271,https://www.beacontreecap.com/,,,,"['Abhishek\xa0Jain', 'Ty\xa0Hill']","[""Michael F\xa0O'Connell"", 'Aaron\xa0Gabbart', 'Brandon\xa0Cope ', ""MK\xa0O'Connell"", 'David\xa0Carver', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'Bill\xa0Egan ', 'Craig\xa0Burr ', 'Matthew\xa0Burr', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Scott\xa0Asen', 'Tushar\xa0Shah', 'Robert\xa0Whitelaw', 'Rick\xa0Bruder', 'Mark\xa0Rothschild', 'J.T.\xa0Fitzgerald', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'David\xa0Dodson', 'Andy\xa0Love', 'Tim\xa0Ludwig', 'Kent\xa0Weaver', 'Joel\xa0Peterson', 'Brad\xa0Buser']",[]
708,Buffalo Point Partners  ,Traditional,20150101,"New York, NY, USA",Explore,,,1039,https://www.buffalopointpartners.com/,,,,['Randy\xa0Burns '],"['Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'J.T.\xa0Fitzgerald', 'Sam\xa0Duprey ']",[]
709,Skyson Capital Inc.  ,Self Funded,20191101,"Ontario, Canada",Search,,,1295,https://network.axial.net/company/skyson-capital-inc,,,,['Alex\xa0Klyguine '],[],[]
710,3GTelecoms  ,Self Funded,20191001,"Leeds, UK",Search,,,1551,www.3gtelecoms.net,,,,['David\xa0Morris'],[],[]
711,Provision  ,Self Funded,,"Katy, TX, USA",Raise,,,1807,,,,,['Alberto\xa0Velazquez'],[],[]
712,Growth Equity Capital Partners  ,Traditional,20150101,"Lake Forest, Illinois 60045, United States",Search,,,272,http://www.ge-cp.com/,,,,['Alex\xa0Makhotin '],"['Jim\xa0Perry ', 'Christopher\xa0Killackey ', 'J.T.\xa0Fitzgerald', 'Jim\xa0Edmunds', 'Tushar\xa0Shah', 'Joel\xa0Feldmann', 'Allen\xa0Hill ', 'Constantine\xa0Alexandrakis ', 'Anders\xa0Brag ', 'Andrew\xa0Worth ', 'Richard\xa0Augustyn', 'Bill\xa0Egan ', 'Alex\xa0Hodgkin', 'Jason\xa0Ficken ', ""Nick\xa0O'Neill "", 'Larry\xa0Dunn']","['Parker\xa0Woodson ', 'John\xa0Melbourne']"
713,Physician Growth Partners  ,Self Funded,20170301,"Chicago, IL, United States",Search,,,784,http://physiciangrowthpartners.com/,,,,"['Michael\xa0Kroin', 'Jonathan\xa0Michalczyk', 'Ezra\xa0Simons']",['Alex\xa0Puthumana'],[]
714,Rockpoint Capital LLC  ,Traditional,20181101,"New York, NY, USA",Search,,,1040,https://www.rpointcapital.com/,,,,['Nathanael\xa0Abebe'],"['Jim\xa0Southern', 'Richard\xa0Augustyn', 'Coley\xa0Andrews', 'Larry\xa0Dunn', 'Keith\xa0Gross', 'Jonathan\xa0Schatz', 'Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum', 'Sara\xa0Rosenthal', 'Gerald\xa0Risk', 'Kevin\xa0Taweel', 'Jim\xa0Ellis', 'Bret\xa0Comolli', 'Will\xa0Thorndike', 'Joe\xa0Niehaus', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey', 'David\xa0Provost ', 'Andrew\xa0Provost', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'José\xa0Stella', 'Duane\xa0Phillips ', 'Andrew\xa0Saltoun ', 'Jay\xa0Davis', 'Jason\xa0Pananos', 'Kent\xa0Weaver', 'Will\xa0Bressman', 'G.J.\xa0King ', 'LOUIS\xa0KONIG ']","['Mikel\xa0Acha ', 'David\xa0Abbasi', 'Maarten\xa0Praet ']"
715,BroadWest Partners  ,Traditional,20190715,"New York, NY, USA",Search,,,1296,https://www.broadwestpartners.com,,,,"['Brian\xa0Greeley', 'Jeff\xa0Conn']","['Jim\xa0Southern', 'Coley\xa0Andrews', 'Scott\xa0Alderman', 'David\xa0Dodson', 'Gerald\xa0Risk', 'Jim\xa0Ellis', 'Will\xa0Thorndike', 'Peter\xa0Kelly', 'Doug\xa0Tudor ', 'Rick\xa0Gustafson ', 'Andrew\xa0Saltoun ', 'Lucas\xa0Braun', 'Ryan\xa0Robinson ', 'Chris\xa0Lueck', 'Ned\xa0Tomasevic', 'Will\xa0Bressman', 'G.J.\xa0King ', 'Kent\xa0Weaver', 'Mario\xa0Sicilia ', 'Angel\xa0Alvarez Cadavieco', 'Guillermo\xa0Zambrano']",[]
716,Viva Partners  ,Traditional,20210104,"Vancouver, BC, Canada",Search,,,1552,www.vivapartners.ca,,,,"['Camila\xa0Medeiros', 'Dustin\xa0Johnson']","['Alfonso\xa0Blohm', 'Brad\xa0Brown', 'Jamie\xa0Turner ', 'Mario\xa0Nigro', 'Sidney\xa0Sommer', 'Kirk\xa0Riedinger', 'Niel\xa0Wyma', 'Andrew\xa0Locke', 'Rob\xa0LeBlanc', 'Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum', 'Will\xa0Bressman', 'G.J.\xa0King ', 'Lew\xa0Davies ', 'Rene\xa0Lajous', 'Daniel\xa0Turkel ', 'Alon\xa0Amar', 'Jojo\xa0Rabinowitz ', 'Aryeh\xa0Mernick ', 'Kurt\xa0Leedy', 'Kyle\xa0Coots', 'Carlos\xa0Saez', 'Michael\xa0Miles', 'Sandro\xa0Mina', 'Stephanie\xa0Warner ', 'Felipe\xa0Corcuera', 'Warren\xa0Chan', 'Clement\xa0Lucas', 'Cecilia\xa0Lulli', 'Thomas\xa0Webster ', 'Jon\xa0Piurko', 'Glen\xa0Silvestri']",[]
717,Refinery7 Ltd  ,Traditional,20201201,"Helsinki, Suomi",Search,,,1808,http://www.jukola7.fi/refinery7/,,,,['Lauri\xa0Aaltio'],['Kari\xa0Vatka '],[]
718,Ali Capital Fund  ,Traditional,,"Toronto, ON, Canada",Explore,,,2064,,,,,['Adam\xa0Ali'],[],[]
719,Castell Capital  ,Traditional,20180126,"Dallas, TX, USA",Search,,,785,http://castellcap.com/,,,,['Reagan\xa0Smith'],"['Badge\xa0Stone', 'Macon\xa0Carroll', 'Will\xa0Thorndike', 'Joe\xa0Niehaus', 'David\xa0Dodson', 'Susan\xa0Pohlmeyer', 'Girish\xa0Pashilkar', 'Sarath\xa0Boyapati ', 'Andy\xa0Dale', 'John\xa0Bingaman', 'Kirk\xa0Riedinger', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Matthew\xa0Burr', 'Lacey\xa0Wismer', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Graham\xa0Weaver']",['Andrew\xa0Wells']
720,Macinaw Management  ,Traditional,20190915,"Chicago, IL, USA",Search,,,1297,https://www.mackinawmanagement.co,,,,"['James\xa0Fox ', 'Mark\xa0Hackman Brooks ', 'Mark\xa0Hackman Brooks']",[],[]
721,Vitanova Equity Partners  ,Self Funded,20200501,"Texas, USA",Explore,,,1553,,,,,['Jordy\xa0Moorman'],[],[]
722,J Capital Partners  ,Traditional,20200901,Madrid,Search,,,1809,http://jcapitalpartners.es/,,,,['Martin\xa0Nunez'],[],[]
723,Otter ,Traditional,20210601,"New York, NY, USA",Explore,,,2065,www.otter.com,,,,['Anthony\xa0Cibulsky'],[],[]
724,Oak Grove Leadership  ,Self Funded,20140812,"Boston, MA, United States",Inactive,,,18,http://www.oakgroveleadership.com/,,,,['Pete\xa0Fillman'],"['Jim\xa0Sharpe', 'Dustin\xa0Campbell']",[]
725,"Heritage Oaks Holdings, LLC  ",Traditional,20170201,"Denver, CO, United States",Search,,,530,https://heritageoaksholdings.com/,,,,['Alex\xa0Loucks'],"['Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum', 'Michael\xa0Miles', 'Carlos\xa0Saez', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Nicolas\xa0Lulli', 'Badge\xa0Stone', 'Macon\xa0Carroll', 'Ed\xa0Weisiger ', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Natalie\xa0Cryer', 'J.T.\xa0Fitzgerald', 'Bill\xa0Egan ', 'Sam\xa0Duprey ', 'Mark\xa0Egan ', 'Joe\xa0Niehaus', 'Graham\xa0Weaver', 'Jamie\xa0Turner ', 'Kirk\xa0Riedinger', 'Scott\xa0Asen', 'Kent\xa0Weaver', 'Andrew\xa0Saltoun ', 'Peter\xa0Schober', 'Alex\xa0Stavros', 'Charles\xa0Anderson']",[]
726,Applewood Equity Ventures  ,Self Funded,20191101,"Chicago, IL, USA",Search,,,1298,https://www.applewoodequity.com/,,,,['Tim\xa0Schlidt '],[],[]
727,Timberlake Cove  ,Self Funded,20181001,Florida,Inactive,,,1554,www.timberlakecove.com,,,,['David\xa0Eng'],[],[]
728,Boeurve Capital  ,Self Funded,,"London, UK",Explore,,,1810,,,,,['Letisha\xa0Riley'],[],[]
729,Black River Growth Partners  ,Traditional,20200801,"Atlanta, GA, USA",Search,,,2066,https://www.blackrivergp.com,,,,['Marcus\xa0Rush'],"['Greg\xa0Geronemus', 'David\xa0Rosner ']",[]
730,The Bison Companies  ,Traditional,20120101,"Bristol, RI, United States",Inactive,,,275,,,,,['Dwight\xa0Keysor'],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Glenn\xa0Healey', 'Jim\xa0Edmunds', 'Gerald\xa0Risk', 'Richard\xa0Augustyn', 'Lacey\xa0Wismer', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'A.J.\xa0Wasserstein', 'Anders\xa0Brag ', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Bret\xa0Comolli', 'David\xa0Dodson', 'David\xa0Lazier', 'Jim\xa0Ellis', 'Jim\xa0Murray ', 'Joe\xa0Niehaus', 'Kevin\xa0Taweel', 'Tom\xa0Cassutt', 'Keith\xa0Gross', 'Coley\xa0Andrews', 'Jim\xa0Southern', 'Paul\xa0Rogers']",['Mansoor\xa0Zaman']
731,Virtus Mittelstand  ,Traditional,20200801,"Ingolstadt, Deutschland",Search,,,1555,www.virtus-mittelstand.de,,,,['Philipp\xa0von Jagwitz'],[],[]
732,Mangrove Legacy  ,Self Funded,20210115,"Miami, FL, USA",Search,,,1811,www.mangrovelegacy.com,,,,['Daniel \xa0Dieguez'],[],[]
733,P.S. Development Capital  ,Self Funded,20181001,"Chicago, IL, USA",Search,,,2067,,,,,['Pavel\xa0Sokolovsky'],[],[]
734,Tribula Group  ,Traditional,20120909,"New York, NY, United States",Inactive,,,20,http://tribulagroup.com,,,,['Paul\xa0Lewis'],"['David\xa0Lazier', 'Tom\xa0Cassutt', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell"", 'Scott\xa0Asen', 'Kent\xa0Weaver', 'Jeff\xa0Stevens', 'Rich\xa0Kelley', 'Tomas\xa0Bergstrand', 'Richard\xa0Augustyn', 'David\xa0Dodson', 'Jim\xa0Ellis', 'Gerald\xa0Risk', 'Bob\xa0Oster ', 'Peter\xa0Kelly', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn']",[]
735,Brass Tower Equity Partners  ,Traditional,20151001,"Atlanta, GA, United States",Inactive,,,276,http://www.brasstower.com/,,,,['Terry\xa0Comer'],"['Coley\xa0Andrews', 'Richard\xa0Augustyn', 'Tomas\xa0Bergstrand', 'David\xa0Dodson', 'Larry\xa0Dunn', 'Aaron\xa0Gabbart', 'Jim\xa0Southern', 'Jeff\xa0Stevens', 'Will\xa0Thorndike', 'Kent\xa0Weaver', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle']",[]
736,"Emerson Capital Partners, LLC  ",Traditional,20181001,"Miami, FL, United States",Search,,,788,https://www.emersoncapital.com,,,,['Kasra\xa0Hedayatnia'],"['Guillermo\xa0Zambrano', 'Angel\xa0Alvarez Cadavieco', 'Jonathan\xa0Yellen', 'David\xa0Provost ', 'Andrew\xa0Provost', 'Alex\xa0Wang', 'Christopher\xa0Jenkins', 'Jaime\xa0DeYoung ', 'John\xa0Bingaman', 'Ted\xa0McCarthy', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Andrew\xa0Savin', 'Graham\xa0Weaver', 'Tushar\xa0Shah', 'Matt\xa0Friesl ']",[]
737,Three Pillars Capital  ,Traditional,20190204,"Chicago, IL, USA",Raise,,,1044,threepillarscap.com,,,,['Peter\xa0Badal'],"['Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber']","['Edward\xa0Tao Zhu ', 'Curtis\xa0Masiello']"
738,Foss Capital,Traditional,,"Melbourne VIC, Australia",Raise,,,1300,michael@fosscapital.com,,,,[],[],[]
739,Argosy Investors  ,Traditional,,"North Carolina, USA",Inactive,,,1556,,,,,['Michael\xa0Loeb'],[],[]
740,Nalim Capital,Traditional,,"São Paulo, SP, Brasil",Inactive,,,1812,,,,,[],[],[]
741,Evermore Industries  ,Self Funded,20200601,"Austin, Texas, United States",Search,,,2068,https://evermore.industries/,,,,"['Edward\xa0Redden', 'Justin\xa0Vogt']",[],[]
742,Logan Peak Partners  ,Traditional,20190102,"Brooklyn, NY, USA",Search,,,1045,www.loganpeak.com,,,,['Bryson\xa0Smith'],"['Jim\xa0Southern', 'Coley\xa0Andrews', 'Keith\xa0Gross', 'Jonathan\xa0Schatz', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Aaron\xa0Perrine', 'Luke\xa0Hedlund', 'David\xa0Dodson', 'Susan\xa0Pohlmeyer', 'Hannah\xa0Dodson', 'Jason\xa0Pananos', 'Jay\xa0Davis', 'Will\xa0Thorndike', 'Mark\xa0Agnew', 'Brad\xa0Brown', 'Tim\xa0Ludwig', 'Andrew\xa0Saltoun ', 'David\xa0Carver', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'Todd\xa0Tracey', 'Kent\xa0Weaver']","['Brooke\xa0Gunnell ', 'Kumail\xa0Raza ']"
743,ANTEI Search Fund  ,Self Funded,20191101,"Washington D.C., DC, USA",Explore,,,1301,www.anteisearchfund.com,,,,['Christine\xa0Conrow'],[],[]
744,AK Growth Partners  ,Self Funded,20201223,"Denver, CO, USA",Search,,,1813,https://www.akgrowthpartners.com/,,,,['Ethan\xa0Castro'],[],[]
745,MeadowView Succession Capital  ,Traditional,20190201,"Cornelius, NC, USA",Search,,,2069,,,,,['Christopher\xa0Brown '],[],[]
746,Rock Lake  Purdue University,Self Funded,20140720,"Minneapolis, MN, United States",Inactive,,,22,http://www.rocklake.net,,,,['Lee\xa0Swanson'],"['Jim\xa0Sharpe', 'Bob\xa0McLean ', 'Stefan\xa0Vitorovic ']",[]
747,Wehmeyer Enterprises (founded AED123)  ,Self Funded,20171204,"Dallas, TX, United States",Search,,,790,www.wehmeyerenterprises.com,,,,['Bobby\xa0Wehmeyer'],[],[]
748,No Name Events Fund  ,Self Funded,20181001,"Miami, FL, USA",Raise,,,1046,,,,,['Paul\xa0Linden'],[],[]
749,TRD Partners  ,Self Funded,,São Paulo,Explore,,,1302,,,,,['Carlos Eduardo\xa0Lucato'],[],[]
750,Hive Industries llc  ,Self Funded,,"Houston, TX, USA",Search,,,1558,,,,,['Alan\xa0Spydell'],[],[]
751,Flywheel Effect  ,Self Funded,20210221,"Melbourne VIC, Australia",Search,,,1814,www.flywheeleffect.com.au,,,,['Michael\xa0Chew'],[],[]
752,Cedarwalk Capital  ,Traditional,20210101,"Orange County, California, United States",Search,,,2070,https://cedarwalk-capital.com/,,,,"['Simon\xa0Dai', 'Ryan\xa0Han Liu ']",[],[]
753,Blue Water Partners ,Traditional,20170102,"Surprise, AZ 85379, United States",Inactive,,,535,https://www.bluewaters.us/,,,,['Troy\xa0Scott '],"['Doug\xa0McGregor ', 'Will\xa0Thorndike']",[]
754,Corvus Growth Capital  ,Traditional,20180101,"Chicago, IL, United States",Raise,,,791,,,,,['Alexander\xa0Gonzalez'],[],[]
755,Millchak LLC  ,Traditional,20180101,"New York, NY, USA",Search,,,1047,https://www.millchak.com/,,,,['Sarah\xa0Olsen'],[],[]
756,Wahlers & Kabanov Unternehmensfortführung ,Traditional,20201014,"Düsseldorf, Germany",Search,,,1303,wkukapital.de,,,,"['Alexander\xa0Kabanov', 'Fabian\xa0Wahlers']",['Ben\xa0Lee'],[]
757,Hive  ,Self Funded,20200601,"Spring, TX, USA",Search,,,1559,,,,,['Carlos\xa0Ramirez'],[],[]
758,HazelRock Capital  ,Self Funded,20200801,"San Francisco, CA, USA",Search,,,1815,https://www.hazelrockcap.com/,,,,['Kusum\xa0Chanrai'],[],[]
759,Jelly Capital  ,Traditional,20150901,"Houston, TX, United States",Search,,,280,,,,,['Mark \xa0Schmulen'],[],[]
760,P6 Capital Limited  ,Traditional,20130101,"Berlin, Germany",Inactive,,,536,,,,,['Paul\xa0Jochen Ebert'],[],[]
761,Sprint Capital  ,Traditional,20190101,"Verona, VR, Italy",Raise,,,1048,,,,,['Manuel\xa0Piccinato'],[],[]
762,Van Dien Capital  ,Traditional,20191101,"Seattle, WA, USA",Search,,,1304,http://vandiencapital.com/,,,,['Douglas\xa0Wolfson'],"['Dan\xa0Curtin ', 'Richard\xa0Lan ', 'Wesley\xa0Lang ', 'Robert\xa0Manzo ', 'Michael\xa0McCain ', 'Kevin\xa0McMahon ']",[]
763,Physiotherapy Centers in Spain  ,Self Funded,20200301,"Lausanne, Switzerland",Explore,,,1560,,,,,['David\xa0Escudero'],[],[]
764,Quercus Transmission  ,Traditional,20210301,"Bordeaux, France",Raise,,,1816,,,,,['Alan\xa0Greco'],[],[]
765,Agripina Capital  ,Traditional,,"Málaga, España",Raise,,,2072,,,,,['Victor\xa0Ruz Barrero'],[],[]
766,Cobalt Peak Capital  United States Naval Academy,Self Funded,20140707,"Houston, TX, United States",Inactive,,,25,,,,,['Rob\xa0Casper'],[],[]
767,8 Wire Capital  Stanford University - Graduate School of Business,Traditional,20050601,"Palo Alto, CA 94301, United States",Inactive,,,281,http://www.8wirecapital.com/,,,,['Daniel\xa0Daum '],"['Craig\xa0Burr ', 'David\xa0Carver', 'David\xa0Dodson', 'Bill\xa0Egan ', 'Rich\xa0Kelley', 'Joe\xa0Niehaus', ""Michael F\xa0O'Connell"", 'Jim\xa0Southern', 'Howard\xa0Stevenson ', 'Will\xa0Stevenson', 'Will\xa0Thorndike', 'James\xa0Burwell ', 'Bob\xa0Oster ', 'Tuan\xa0Le ', 'Johnnie\xa0Walters ']",[]
768,Trevale Partners  ,Self Funded,20180101,"Dallas, TX, United States",Search,,,537,https://www.trevale.com/,,,,['Jordan\xa0Carter'],"['Eli\xa0Drucker', 'Robert\xa0Graham', 'Steve\xa0Ressler']",[]
769,Shak Master Search,Self Funded,20170101,"Los Angeles, CA, USA",Search,,,1049,,,,,[],[],[]
770,nachfolgeeinmalanders.de  ,Self Funded,20191101,"Düsseldorf, Deutschland",Search,,,1305,www.nachfolgeeinmalanders.de,,,,['Philip\xa0Rodowski'],[],[]
771,LK South  ,Self Funded,20190801,"Atlanta, GA, USA",Search,,,1561,lksouth.com,,,,['Lowell\xa0Hays'],[],[]
772,Surca Capital  ,Traditional,20210901,Spain,Raise,,,1817,https://www.surcacapital.com,,,,['Edgar\xa0Company'],[],[]
773,Ostrom Capital Partners  ,Self Funded,20190101,"Chicago, Illinois, United States",Search,,,2073,https://ostromcapitalpartners.com/,,,,['Emily\xa0Bergstrom'],[],[]
774,Ovi Capital  ,Traditional,20170606,"San Francisco, CA, United States",Inactive,,,538,www.mikhailcapital.com,,,,"['Ronald\xa0AngSiy', 'Peter\xa0Tran', 'Joshua\xa0Yagi']",[],[]
775,Signatus Capital  ,Traditional,20190601,"Seville, Spain",Search,,,1050,https://www.signatuscapital.com/,,,,['Enrique\xa0Sales Rodriguez'],['José\xa0Moreno'],['Norberto\xa0del Barrio Nuñez']
776,Black Pen White Board  ,Self Funded,20190701,"Los Angeles, CA, USA",Search,,,1306,www.blackpenwhiteboard.com,,,,['Nicholas\xa0Delgado'],[],[]
777,Drift Plains Capital Partners  ,Traditional,,"Batesville, IN",Explore,,,1562,,,,,['Stephen\xa0Powaga'],[],[]
778,NA  ,Traditional,,"Edmonton, AB, Canada",Explore,,,1818,,,,,['Kfir\xa0Rabi'],[],[]
779,Lakeside Management Partners  West Virginia University,Traditional,20131101,"Winter Garden, FL, United States",Inactive,,,27,http://www.lakeside-mp.com/,,,,"['Jon\xa0Byrd', 'Patrick\xa0Walsh']","['Jeff\xa0Stevens', 'Rich\xa0Kelley', 'Jim\xa0Southern', 'Paul\xa0Davies', 'Jon\xa0Altschuler', 'Scott\xa0Asen', 'Richard\xa0Augustyn', 'Tom\xa0Cassutt', 'Robert\xa0Dahl ', 'David\xa0Lazier', 'Andy\xa0Love', 'Tim\xa0Ludwig', 'Gerald\xa0Risk', 'Jim\xa0Sharpe', 'Will\xa0Thorndike', 'Kent\xa0Weaver', 'Ashley\xa0Giesler', 'Coley\xa0Andrews', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Brad\xa0Buser']",[]
780,Choice Capital  ,Traditional,20180101,"Hartford, CT, United States",Raise,,,795,https://choicecapital.xyz,,,,"['Fabio\xa0Delfino', 't\xa0c']",['Amandeep\xa0Singh'],[]
781,Arandu Capital  ,Traditional,20191001,"Jardim Paulista, São Paulo - SP, 01311-100, Brasil",Raise,,,1307,www.arandu.capital,,,,"['Gabriel\xa0Rizzi', 'Renato\xa0Campos']",[],[]
782,Green Creek Capital  ,Traditional,20200501,"Pune, Maharashtra, India",Explore,,,1563,,,,,['Dipesh\xa0Dayama'],[],[]
783,Cicada Capital  ,Self Funded,20210228,"Pittsburgh, PA, USA",Explore,,,1819,,,,,['Andrew\xa0Magulick'],[],[]
784,Great Dome Partners  ,Self Funded,,"Boston, MA, USA",Explore,,,2075,,,,,['Raymond\xa0Shih'],[],[]
785,Silverstone Capital  ,Traditional,20200203,"Toronto, ON, Canada",Search,,,1308,https://silverstonecapital.ca/,,,,['Abhinay\xa0Penugonda'],"['Jon\xa0Piurko', 'Mario\xa0Nigro', 'Tushar\xa0Shah', 'Jamie\xa0Turner ', 'Josh\xa0LeBrun', 'Simon\xa0Webster', 'Glen\xa0Silvestri', 'Scott\xa0Asen', 'Amit\xa0Katarya', 'Kenneth\xa0Krajewski', 'Andreas\xa0Bodmeier', 'George\xa0Jankovic', 'Duane\xa0Phillips ', 'Tomas\xa0Bergstrand', 'Liroy\xa0Haddad ', 'Dan\xa0Chetrit']",[]
